№,Описание проверки,"Яндекс.Браузер
1920x1080
","Chrome
1280х720
","Баг-Репорты
"
Заголовок,,,,
1,"Логотип расположен в верхнем левом углу экрана,
текст логотипа : ""Яндекс Самокат"",текст слова ""Яндекс"" выделен жирным шрифтом",PASSED,PASSED,
2,"При нажатии на ""Самокат"" страница обновляется",PASSED,PASSED,
3,"При нажатии на ""Яндекс"" производится переход на yandex.ru",PASSED,PASSED,
Форма заказа,,,,
4,"Название кнопки просмотра статуса заказа  ""Статус заказа"" ,текст кнопки ""Статус заказа"" черный на белом фоне,название кнопки ""Статус заказа"" правильно отображается на кнопке: не выходит за её границы и выравнивается по середине и по центру",PASSED,PASSED,
5,Если навести курсор на кнопку - она посветлеет,PASSED,PASSED,
6,"При нажатии на ""Заказать"" открывается форма ""Для кого самокат""",PASSED,PASSED,
7,"В середине главной страницы нажать ""Заказать"", откроется форма ""Для кого самокат""",PASSED,PASSED,
8,"Если навести курсор на кнопку ""Заказать"" в середине страницы - она посветлеет",PASSED,PASSED,
"Форма ""Для кого самокат""",,,,
9,"Поле имя, при вводе некорректных значений, подсвечивается красным и появл. сообщение об ошибке",PASSED,PASSED,
10,"Поле ""Имя"" название поля:Имя,текст серого цвета,рамка серого цвета,расположение по середине страницы",PASSED,PASSED,
11,"Если написать текст, рамка и текст остаются черными",PASSED,PASSED,
12,"При нажатии на поле имя, рамка станет синей",PASSED,PASSED,
13,"Поле фамилия, при вводе некорректных значений, подсвечивается красным и появл. сообщение об ошибка",PASSED,PASSED,
14,"Поля ""Фамилия"" название поля:Фамилия,текст серого цвета,расположение по середине страницы",PASSED,PASSED,
15,"Если вбить текст, рамка и текст остаются черными",PASSED,PASSED,
16,"При нажатии на поле ""фамилия"", рамка станет синей",PASSED,PASSED,
17,"Поле адрес, при вводе некорректных значений подсвечивается красным и появл. сообщение об ошибка",PASSED,PASSED,
18,"Если написать текст, рамка и текст остаются черным цветом",PASSED,PASSED,
19,"При нажатии на поле адрес, рамка станет синей",PASSED,PASSED,
20,Станции метро можно выбрать только саджестом.,PASSED,PASSED,
21,"Кликни на поле метро, рамка станет синим",PASSED,PASSED,
22,"Если выбрать станцию, рамка и текст -  черные, появляется маркер станции",FALLED,FALLED,https://tracker.yandex.ru/BUG-1095670
23,"Если навести курсор на поле метро, курсор сменится на руку",PASSED,PASSED,
24,"Если не выбрать станцию, поле подсвечивается красным и появл. сообщение об ошибка",PASSED,PASSED,
25,"Поле телефон, при некорректном вводе подсвечивается красным и появл. сообщение об ошибка",PASSED,PASSED,
26,"Если вбить цифры, рамка и текст черный",PASSED,PASSED,
27,"Формат отображения :поле черное,заполнение в нем черным шрифтом",PASSED,PASSED,
28,"Кликни на поле телефон, рамка станет синим",PASSED,PASSED,
29,"Кнопка дальше черного цвета,текст:Дальше,белого цвета,расположение по правую сторону от формы",PASSED,PASSED,
30,"При нажатии на далее, когда все поля пустые, переход не произойдет",PASSED,PASSED,
31,"Заполнены все поля, происходит переход",PASSED,PASSED,
32,"Если навести курсор на кнопку далее, она посветлеет, курсор сменится на руку",PASSED,PASSED,
33,Если поля заполнены некорректно - перехода на след. Страницу не будет,PASSED,PASSED,
34,"Надпись «для кого самокат» расположение по правую сторону,равнение по форме,текст черного цвета,текст6Для кого самокат",PASSED,PASSED,
35,Верстка страницы не разъезжается,PASSED,PASSED,
36,"Если обновить страницу, данные пропадают , но остаешься на этой же странице",PASSED,PASSED,
Когда привезти самокат,,,,
37,"Поле ""Когда привезти самокат"" текст ""Когда привезти самокат"",цвет поля серый,шрифт серый,расположение по правой стороне",PASSED,PASSED,
38,"Рамка и текст поля в пассивном состоянии, серого цвета",PASSED,PASSED,
39,"При клике , рамка станет синей",PASSED,PASSED,
40,"При клике на «Когда привезти самокат», появляется календарь справа под значком.",PASSED,PASSED,
41,"Если навести курсор на поле, курсор сменится на руку",PASSED,PASSED,
42,Выбрать дату можно только с завтрашнего дня. ,FALLED,FALLED,https://tracker.yandex.ru/BUG-1095711
43,Выходные дни в всплывающем календаре красного цвета,FALLED,FALLED,https://tracker.yandex.ru/BUG-1095734
44,"Когда пользователь выбирает дату, значение сразу подставляется в поле.",PASSED,PASSED,
45,На календаре открывается текущий месяц.,PASSED,PASSED,
46,Будние дни черным шрифтом,PASSED,PASSED,
47,"Пользователь может выбрать другую дату, поле подсвечивается синим.",PASSED,PASSED,
48,Вводить значения вручную в поле нельзя. ,FALLED,FALLED,https://tracker.yandex.ru/BUG-1095755
49,"Поле когда привезти самокат, в незаполненном сост. подсвечивается красным и появл. сообщение об ошибка",FALLED,FALLED,https://tracker.yandex.ru/BUG-1095780
Сроки аренды,,,,
50,"Поле ""Сроки аренды"" расположение по правую сторону,текст ""Сроки аренды"",шрифт серый,иконка календаря,расположение по левую сторону,цвет серый,расположение внутри поля",,,
51,"При клике на поле, выпадает список от 1 до 7 суток ",PASSED,PASSED,
52,Список сгруппирован слева стрелка выпада соответствует требованиям,FALLED,FALLED,https://tracker.yandex.ru/BUG-1100097
53,"Рамка и текст поля в пассивном состоянии, серого цвета",PASSED,PASSED,
54,"Рамка и текст поля в заполненном состоянии, черного цвета",PASSED,PASSED,
55,"при клике на поле, рамка станет синяя",FALLED,FALLED,https://tracker.yandex.ru/BUG-1100105
Цвет самоката,,,,
56,"Поле ""Цвет самоката"" рамка серая,текст ""Цвет самоката"",шрифт серый,расположение по правую сторону страницы",PASSED,PASSED,
57,"Можно выбрать как один, так и оба варианта.",PASSED,PASSED,
58,Группировка слева,PASSED,PASSED,
59,"Поле цвет, в незаполненном сост. не подсвечивается красным и не появл. сообщение об ошибка",PASSED,PASSED,
60,"Рамка и текст поля в пассивном состоянии, серого цвета",PASSED,PASSED,
61,"Рамка и текст поля в заполненном состоянии, черного цвета",PASSED,PASSED,
62,"Если навести курсор на название цвета, курсор сменится на руку",PASSED,PASSED,
63,"В активном сост. у чек-боксов (выбрать цвет самоката) рамка и галочка черного цвета, в пассивном отсутствует галочка и рамка полупрозрачная.",PASSED,PASSED,
Кнопка назад,,,,
64,"Кнопка «Назад»расположение по левую сторону,равнение по форме заказа,цвет кнопки белый,возведен в черную рамочку,шрифт жирный черный",PASSED,PASSED,
64,При нажатии происходит переход назад с сохраненными данными.,PASSED,PASSED,
66,В пассивном состоянии кнопка белого цвета с черной рамкой и буквами,PASSED,PASSED,
67,"Если навести курсор на кнопку, она станет серой, курсор сменится на руку",PASSED,PASSED,
68,"Если убрать фокус с кнопки, она станет белой",PASSED,PASSED,
Кнопка заказать,,,,
69,"Кнопка «заказать» текст:Заказать,расположение по правую сторону,равнение по форме,цвет черный,буквы белые",PASSED,PASSED,
70,В пассивном состоянии кнопка черного цвета с белыми буквами,PASSED,PASSED,
71,"Если навести курсор на кнопку, она посветлеет, курсор сменится на руку",PASSED,PASSED,
72,"Если убрать фокус с кнопки, она станет черной",PASSED,PASSED,
73,"Если заполнены только обязательные поля, при клике по кнопке «Заказать» осуществляется переход во всплывающее окно ""Заказ оформлен""",BLOCED,BLOCED,https://tracker.yandex.ru/BUG-1095528
74,"Заполнены только необязательные поля, заказ не будет оформлен",PASSED,PASSED,
75,"Если все поля заполнены, при клике кнопки «Заказать», осуществляется переход во всплывающее окно ""Заказ оформлен""",,,
76,"Пустые все поля, заказ не будет оформлен",PASSED,PASSED,
77,"Заполнены некорректно обязательные поля, заказ не будет оформлен",PASSED,PASSED,
78,"При клике на кнопку заказать, появится всплывающее окно с текстом""Заказ оформлен --номер заказа--Запишите его:пригодится,чтобы отслеживать статус"" и кнопкой:Посмотреть статус",FALLED,FALLED,https://tracker.yandex.ru/BUG-1095528
79,"Кнопка ""посмотреть статус"" расположение по левую сторону,равнение по всплывающему окну,цвет черный,буквы белые",BLOCED,BLOCED,https://tracker.yandex.ru/BUG-1095528
80,"Кнопка ""посмотреть статус"" не имеет орфографических ошибок",BLOCED,BLOCED,https://tracker.yandex.ru/BUG-1095528
81,"Всплывающее окно ""Заказ оформлен"" соответсвует макету и расположению и дизайну",BLOCED,BLOCED,https://tracker.yandex.ru/BUG-1095528
82,"В тексте всплывающего окна ""Заказ оформлен"" нет орфографических ошибок",BLOCED,BLOCED,https://tracker.yandex.ru/BUG-1095528
83,"Кнопка «Посмотреть статус» в сообщении, ведёт на экран «Статус заказа»: в нём уже заполнено поле «Номер заказа».",BLOCED,BLOCED,https://tracker.yandex.ru/BUG-1095528
84,Пользователь может сделать несколько заказов один за другим.,BLOCED,BLOCED,https://tracker.yandex.ru/BUG-1095528
